,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Dakiti,"Bad Bunny",6886630,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
2,positions,"Ariana Grande",5212960,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
3,"Mood (feat. iann dior)",24kGoldn,4709462,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
4,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",4067806,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
5,"Lonely (with benny blanco)","Justin Bieber",3477127,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
6,"What You Know Bout Love","Pop Smoke",3327621,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
7,Dynamite,BTS,3233273,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
8,Hawái,Maluma,3057864,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
9,34+35,"Ariana Grande",2953742,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
10,"WAP (feat. Megan Thee Stallion)","Cardi B",2948651,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
11,"Blinding Lights","The Weeknd",2872940,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
12,"Holy (feat. Chance The Rapper)","Justin Bieber",2715143,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
13,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",2661168,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
14,"Watermelon Sugar","Harry Styles",2608985,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
15,"you broke me first","Tate McRae",2556336,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
16,"Head & Heart (feat. MNEK)","Joel Corry",2447949,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
17,"Relación - Remix",Sech,2209173,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
18,"Put Your Records On","Ritt Momney",2113867,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
19,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,2041191,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
20,Heather,"Conan Gray",2021846,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
21,"Laugh Now Cry Later (feat. Lil Durk)",Drake,2004321,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
22,Wonder,"Shawn Mendes",1952246,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
23,"motive (with Doja Cat)","Ariana Grande",1931405,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT
24,"Se Te Nota (with Guaynaa)","Lele Pons",1892085,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
25,"Someone You Loved","Lewis Capaldi",1890724,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
26,"La Tóxica",Farruko,1871767,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
27,"La Nota","Manuel Turizo",1865703,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
